Product_Name,Category,State,Old_Packaging,Old_CO2,Old_Shelf_Life,Old_Decomposition,New_Packaging_1,New_CO2_1,New_Shelf_Life_1,New_Decomposition_1,New_Packaging_2,New_CO2_2,New_Shelf_Life_2,New_Decomposition_2,New_Packaging_3,New_CO2_3,New_Shelf_Life_3,New_Decomposition_3
Onion,Vegetable,Solid,Plastic Bottle,4.5,7 days,450 years,Plant-based Bottle,1.3,20 days,2 years,Paper Tray,1.2,4 days,4 months,Reusable Cloth Bag,0.7,120 days,Reusable
Apple,Fruits,Solid,Styrofoam Box,4,10 days,500 years,Reusable Cloth Bag,0.7,9 days,Reusable,Plant-based Bottle,1.3,7 days,2 years,Jute Bag,0.8,13 days,1 year
Milk,Beverage,Liquid,Styrofoam Box,4,14 days,500 years,Biodegradable Pouch,1.1,16 days,8 months,Reusable Cloth Bag,0.7,16 days,Reusable,Plant-based Bottle,1.3,12 days,2 years
Tomato,Vegetable,Solid,Styrofoam Box,4,3 days,500 years,Reusable Cloth Bag,0.7,20 days,Reusable,Steel Container,1,17 days,Reusable,Paper Tray,1.2,6 days,4 months
Orange,Fruits,Solid,Plastic Bottle,4.5,15 days,450 years,Biodegradable Pouch,1.1,14 days,8 months,Recyclable Cardboard Box,1,8 days,6 months,Plant-based Bottle,1.3,6 days,2 years
Sugar,Cooking,Solid,Aluminium Foil,5,6 days,200 years,Glass Bottle,1.2,7 days,Reusable,Jute Bag,0.8,12 days,1 year,Steel Container,1,12 days,Reusable
Pen,Stationery,Solid,Styrofoam Box,4,8 days,500 years,Paper Tray,1.2,9 days,4 months,Plant-based Bottle,1.3,4 days,2 years,Recyclable Cardboard Box,1,19 days,6 months
Biscuits,Bakery,Solid,Plastic Bottle,4.5,3 days,450 years,Glass Bottle,1.2,20 days,Reusable,Reusable Cloth Bag,0.7,16 days,Reusable,Biodegradable Pouch,1.1,19 days,8 months
Juice,Beverage,Liquid,Aluminium Foil,5,14 days,200 years,Biodegradable Pouch,1.1,15 days,8 months,Recyclable Cardboard Box,1,10 days,6 months,Steel Container,1,16 days,Reusable
Grapes,Fruits,Solid,PVC Packaging,4.2,10 days,450 years,Biodegradable Pouch,1.1,19 days,8 months,Paper Tray,1.2,6 days,4 months,Reusable Cloth Bag,0.7,15 days,Reusable
Juice,Beverage,Liquid,Plastic Bottle,4.5,10 days,450 years,Jute Bag,0.8,14 days,1 year,Reusable Cloth Bag,0.7,17 days,Reusable,Recyclable Cardboard Box,1,5 days,6 months
Banana,Fruits,Solid,Aluminium Foil,5,4 days,200 years,Compostable Net Bag,0.9,13 days,6 months,Paper Tray,1.2,12 days,4 months,Plant-based Bottle,1.3,9 days,2 years
Carrot,Vegetable,Solid,Styrofoam Box,4,13 days,500 years,Biodegradable Pouch,1.1,19 days,8 months,Reusable Cloth Bag,0.7,6 days,Reusable,Paper Tray,1.2,10 days,4 months
Soap,Cosmetics,Solid,Plastic Packet,3.5,14 days,500 years,Reusable Cloth Bag,0.7,18 days,Reusable,Recyclable Cardboard Box,1,18 days,6 months,Biodegradable Pouch,1.1,17 days,8 months
Shirt,Clothing,Solid,Plastic Packet,3.5,3 days,500 years,Glass Bottle,1.2,4 days,Reusable,Jute Bag,0.8,5 days,1 year,Reusable Cloth Bag,0.7,20 days,Reusable
Bread,Bakery,Solid,Plastic Bottle,4.5,4 days,450 years,Steel Container,1,6 days,Reusable,Biodegradable Pouch,1.1,5 days,8 months,Paper Tray,1.2,6 days,4 months
