Product_Name,Category,State,Old_Packaging,Old_CO2_Score,New_Packaging,New_CO2_Score
Salt,Cooking,Liquid,Non-recyclable Film,4.32,Glass Bottle,1.19
Carrots,FreshProduce,Solid,Styrofoam Box,4.37,Paper Pouch,0.91
Carrots,FreshProduce,Solid,PVC Packaging,3.7,Compostable Tray,0.73
Spices,Cooking,Liquid,Metalized Plastic Pouch,4.36,Recycled Plastic Bottle,1.35
Chocolate,Snacks,Solid,Metalized Plastic Pouch,4.39,Paper Pouch,0.81
Soft Drink,Beverage,Liquid,Shrink Wrap,4.4,Biodegradable Pouch,0.63
Oats,Grains,Solid,Non-recyclable Plastic Bottle,3.94,Paper Sack,1.08
Biscuits,Snacks,Solid,Polythene Bag,4.01,Cloth Bag,0.67
Shampoo,PersonalCare,Liquid,PVC Packaging,4.36,Aluminum Tube,1.99
Juice,Beverage,Liquid,PVC Packaging,3.67,Aluminum Can,1.74
Milk,Beverage,Liquid,Polythene Bag,4.04,Aluminum Can,1.82
Chocolate,Snacks,Solid,Styrofoam Box,4.85,Paper Pouch,0.92
Onions,FreshProduce,Solid,Styrofoam Box,4.31,Cloth Bag,0.93
Orange,Fruits,Solid,Styrofoam Box,4.51,Recyclable Cardboard Box,1.06
Onions,FreshProduce,Solid,Non-recyclable Plastic Bottle,4.39,Jute Bag,0.63
Energy Drink,Beverage,Liquid,Shrink Wrap,4.45,Glass Bottle,1.49
Popcorn,Snacks,Solid,Shrink Wrap,3.51,Biodegradable Plastic Wrapper,0.85
Shampoo,PersonalCare,Liquid,PVC Packaging,3.57,Recycled Plastic Bottle,1.72
Rice,Grains,Solid,Styrofoam Box,4.78,Cloth Bag,0.71
Wheat,Grains,Solid,Metalized Plastic Pouch,3.77,Reusable Container,0.87
Oil,Cooking,Solid,Styrofoam Box,4.4,Jute Bag,0.92
Smartwatch,Electronics,Solid,Non-recyclable Film,4.36,Molded Pulp Tray,0.97
Lentils,Grains,Solid,PVC Packaging,3.74,Reusable Container,0.83
Smartwatch,Electronics,Solid,PVC Packaging,3.85,Biodegradable Cushioning,0.85
Spinach,FreshProduce,Solid,Plastic Packet (Non-degradable),3.69,Cloth Bag,0.69
Lentils,Grains,Solid,Non-recyclable Plastic Bottle,4.2,Reusable Container,0.99
Oil,Cooking,Solid,Shrink Wrap,4.12,Cloth Bag,0.71
Power Bank,Electronics,Solid,Non-recyclable Plastic Bottle,3.67,Molded Pulp Tray,0.63
Chocolate,Snacks,Solid,Metalized Plastic Pouch,4.35,Paper Pouch,0.97
Chips,Snacks,Solid,Shrink Wrap,4.3,Cloth Bag,0.8
Energy Drink,Beverage,Liquid,PVC Packaging,4.34,Recycled Plastic Bottle,1.71
Salt,Cooking,Liquid,Non-recyclable Plastic Bottle,4.3,Glass Bottle,1.02
Chips,Snacks,Solid,Plastic Packet (Non-degradable),3.93,Cloth Bag,0.89
Grapes,Fruits,Solid,Plastic Packet (Non-degradable),4.0,Recyclable Cardboard Box,1.17
Toothpaste,PersonalCare,Liquid,Non-recyclable Plastic Bottle,4.23,Recycled Plastic Bottle,1.48
Power Bank,Electronics,Solid,Polythene Bag,3.63,Paper Wrap,1.03
Orange,Fruits,Solid,PVC Packaging,3.56,Recyclable Cardboard Box,0.84
Tomatoes,FreshProduce,Solid,Non-recyclable Plastic Bottle,4.17,Paper Pouch,1.06
Lentils,Grains,Solid,Non-recyclable Film,4.49,Cloth Bag,0.82
Wheat,Grains,Solid,Plastic Packet (Non-degradable),4.18,Paper Sack,1.06
Biscuits,Snacks,Solid,Plastic Clamshell,4.43,Cloth Bag,0.72
Tomatoes,FreshProduce,Solid,Polythene Bag,3.58,Compostable Tray,0.62
Rice,Grains,Solid,PVC Packaging,4.17,Reusable Container,0.87
Grapes,Fruits,Solid,Plastic Clamshell,4.46,Paper Tray,0.97
Chips,Snacks,Solid,Plastic Packet (Non-degradable),3.74,Recyclable Cardboard Box,0.9
Salt,Cooking,Liquid,Metalized Plastic Pouch,3.91,Recycled Plastic Bottle,1.72
Tomatoes,FreshProduce,Solid,Styrofoam Box,4.35,Compostable Tray,0.86
Spinach,FreshProduce,Solid,Shrink Wrap,4.28,Cloth Bag,0.75
Smartwatch,Electronics,Solid,Plastic Packet (Non-degradable),3.76,Biodegradable Cushioning,0.81
Grapes,Fruits,Solid,Non-recyclable Film,3.59,Recyclable Cardboard Box,1.04
Orange,Fruits,Solid,Plastic Clamshell,3.8,Recyclable Cardboard Box,0.97
Salt,Cooking,Solid,Non-recyclable Film,4.03,Paper Sack,1.1
Potatoes,FreshProduce,Solid,Plastic Packet (Non-degradable),4.18,Cloth Bag,0.77
Spices,Cooking,Liquid,Shrink Wrap,4.28,Recycled Plastic Bottle,1.39
Smartwatch,Electronics,Solid,Polythene Bag,4.26,Recyclable Cardboard Box,1.06
Spinach,FreshProduce,Solid,Non-recyclable Plastic Bottle,3.9,Cloth Bag,0.99
Beer,Beverage,Liquid,Styrofoam Box,4.64,Glass Bottle,1.03
USB Cable,Electronics,Solid,Shrink Wrap,4.22,Paper Wrap,1.17
Popcorn,Snacks,Solid,Polythene Bag,3.67,Recyclable Cardboard Box,0.93
Chips,Snacks,Solid,Plastic Clamshell,3.88,Paper Pouch,1.01
Carrots,FreshProduce,Solid,Plastic Packet (Non-degradable),3.84,Jute Bag,0.96
Popcorn,Snacks,Solid,Non-recyclable Film,3.97,Cloth Bag,0.9
